year	numSeeds	infectedNodes
2002	19	{"9770___blind source separation":[],"10795___business models":[],"10796___consider thinking":[],"1450___monte carlo methods":[],"1452___signal processing":[],"6715___filtering algorithms":[],"7847___lyapunov function":[],"9774___overcomplete situation":[],"12152___patent trademark":[],"9776___unsupervised learning":[],"1449___bayesian methods":[],"7848___global exponential stability":[],"9769___independent component analysis":[],"12149___intellectual property":[],"9772___important method":[],"10132___speech processing":[],"12154___organization company":[],"6716___state estimation":[],"12150___program product":[]}
2002	19	{"9770___blind source separation":[],"10795___business models":[],"10796___consider thinking":[],"1450___monte carlo methods":[],"1452___signal processing":[],"6715___filtering algorithms":[],"7847___lyapunov function":[],"9774___overcomplete situation":[],"12152___patent trademark":[],"9776___unsupervised learning":[],"1449___bayesian methods":[],"7848___global exponential stability":[],"9769___independent component analysis":[],"12149___intellectual property":[],"9772___important method":[],"10132___speech processing":[],"12154___organization company":[],"6716___state estimation":[],"12150___program product":[]}
2003	5	{"5086___visual representation":[],"5077___paper presents":["5080___existing techniques"],"5088___automatic page adaptation":[],"5078___web applications":[],"5084___tree independent approach":[]}
2003	10	{"5086___visual representation":[],"5077___paper presents":[],"2359___preliminary results provide":[],"5082___visual perception":[],"5080___existing techniques":[],"2366___ontowordnet project":["2368___progress report","2372___research program aiming"],"5088___automatic page adaptation":[],"5078___web applications":[],"2364___formal specification":[],"5084___tree independent approach":[]}
2003	20	{"5086___visual representation":[],"5077___paper presents":[],"2359___preliminary results provide":[],"5082___visual perception":[],"5088___automatic page adaptation":[],"2362___dolce foundational ontology":[],"2370___consistent modularized":[],"5078___web applications":[],"3315___feature vector":["3316___first-order predicate"],"2364___formal specification":[],"3320___real life":[],"1112___global exponential stability":["6024___periodic solution","6028___sufficient conditions","6026___neural networks","1432___lyapunov functional","217___85.40.ls","9678___young inequality","1430___recurrent neural networks","220___87.10.+e","218___43.80.+p","1429___global asymptotic stability"],"2368___progress report":[],"5080___existing techniques":[],"2366___ontowordnet project":[],"2372___research program aiming":[],"3324___really simple discovery":["3322___heuristic"],"5084___tree independent approach":[],"3318___algorithm":["9244___singular value decomposition"],"2360___research program aimed":[]}
2003	62	{"5077___paper presents":[],"7675___scheduling (computing)":[],"5088___automatic page adaptation":[],"1429___global asymptotic stability":[],"10784___robustness":[],"5078___web applications":[],"218___43.80.+p":[],"3315___feature vector":[],"3320___real life":[],"10781___deconvolution":[],"6024___periodic solution":[],"9720___cluster representation":[],"618___state-space methods":[],"5086___visual representation":[],"2359___preliminary results provide":[],"5320___signal processing":[],"6026___neural networks":[],"7678___grid computing":[],"1432___lyapunov functional":[],"6015___neural network":[],"8201___walk on spheres (wos)":[],"2364___formal specification":[],"9713___text categorization":[],"9714___computed using":[],"9584___noiseless context":[],"6028___sufficient conditions":[],"2366___ontowordnet project":[],"8202___87.15.vv":[],"220___87.10.+e":[],"3324___really simple discovery":[],"9678___young inequality":[],"5084___tree independent approach":[],"6009___pattern recognition":[],"5082___visual perception":[],"3316___first-order predicate":[],"3322___heuristic":[],"2362___dolce foundational ontology":[],"7680___computation":[],"5319___bayesian methods":[],"9716___support vector machine":[],"1430___recurrent neural networks":[],"5080___existing techniques":[],"8206___82.20.pm":[],"2372___research program aiming":[],"620___state estimation":[],"6016___content-addressable memory":[],"2370___consistent modularized":[],"9241___dimensionality reduction":[],"6012___scalability":[],"7795___random number generation":[],"7676___monte carlo method":[],"8204___84.37.+q":[],"1112___global exponential stability":[],"2368___progress report":[],"1111___87.18.sn":[],"9583___original bayesian approach":[],"217___85.40.ls":[],"9718___combines distributional clustering":[],"617___filtering":[],"3318___algorithm":[],"2360___research program aimed":[],"9244___singular value decomposition":[]}
2004	5	{"10738___user study":["10734___uniform approach","10740___multiple segments"],"10744___web page":["10959___link analysis"],"10742___differentiating noisy":[],"10733___previous work shows":[],"10736___consistent view":[]}
2004	10	{"9872___ontology learning algorithms":["9868___proposed evaluation strategy","9880___paper provides","9878___knowledge engineers","9865___different learning circumstances"],"10738___user study":[],"9870___critical task":[],"10734___uniform approach":[],"10740___multiple segments":[],"10744___web page":["10959___link analysis"],"10742___differentiating noisy":[],"9876___detailed quantitative analysis":["9866___conceptualisation effort produced"],"10733___previous work shows":[],"10736___consistent view":[]}
2004	20	{"9874___domain specialists":[],"10738___user study":[],"7764___images available":[],"9880___paper provides":[],"9870___critical task":[],"10734___uniform approach":[],"9868___proposed evaluation strategy":[],"7762___increasing demand":[],"10744___web page":["10959___link analysis"],"9878___knowledge engineers":[],"9876___detailed quantitative analysis":[],"9882___ontolearn ontology learning":[],"10733___previous work shows":[],"10736___consistent view":[],"9872___ontology learning algorithms":[],"10740___multiple segments":[],"9865___different learning circumstances":[],"10742___differentiating noisy":[],"9866___conceptualisation effort produced":[],"9884___ontology evaluation":[]}
2004	86	{"5168___overfitting":[],"10738___user study":[],"7764___images available":[],"9378___complex information systems":[],"6029___subgroup a nepoviruses":[],"1252___mathematical optimization":[],"7771___link information":[],"9870___critical task":[],"4454___photometric stereo":[],"9375___digital libraries":[],"1250___particle swarm optimization":[],"7688___linear congruential generator":[],"12105___certain applications":[],"9876___detailed quantitative analysis":[],"10733___previous work shows":[],"10736___consistent view":[],"9760___real life":[],"9872___ontology learning algorithms":[],"7774___accurately extracted":[],"9380___interoperability suffers":[],"4460___interpolation":[],"8488___semantic normalization":[],"9865___different learning circumstances":[],"10742___differentiating noisy":[],"7772___block containing":[],"8490___semantic graph":[],"11116___apache ant (another neat tool)":[],"12106___large number":[],"8486___summarizing document":[],"4453___shading":[],"9880___paper provides":[],"11113___ant colony optimization algorithms":[],"9694___lyapunov functional":[],"7762___increasing demand":[],"8498___deep syntactic analysis":[],"12116___implementing systems":[],"8482___sentence pronoun resolution":[],"9878___knowledge engineers":[],"9882___ontolearn ontology learning":[],"2444___reinforcement learning":[],"1249___benchmark (computing)":[],"11120___class":[],"5334___database":[],"12110___desktop workstation":[],"10740___multiple segments":[],"2916___parallel computing":[],"9884___ontology evaluation":[],"9874___domain specialists":[],"9693___bi-directional associative memory (bam)":[],"8494___extract sentences":[],"9672___linear discriminant analysis":[],"11119___large":[],"1255___stochastic process":[],"10734___uniform approach":[],"5333___facial recognition system":[],"10744___web page":[],"4462___autostereogram":[],"6032___heuristic":[],"12112___recent advances":[],"7692___computation":[],"7760___efficient method":[],"6034___rule (guideline)":[],"11106___apriori algorithm":[],"9762___roc curve":[],"8496___original document":[],"8484___document summary":[],"12114___time vision":[],"7757___digital images":[],"8481___apply cross":[],"9868___proposed evaluation strategy":[],"11105___consortium":[],"2915___random number generation":[],"2918___monte carlo method":[],"9376___fundamental ions":[],"8269___biasing":[],"5326___experiment":[],"4458___view synthesis":[],"7690___pseudorandom number generator":[],"10959___link analysis":[],"4456___map":[],"8492___reference resolution":[],"7758___rapid growth":[],"9866___conceptualisation effort produced":[],"1256___algorithm":[],"5167___test set":[],"12108___real time":[]}
